13a	64.09
13b	66.73
13c	57.35
13d	65.74
13e	57.66
13f	71.46
13g	55.57
13h	66.10
13i	66.07
13j	48.80
13k	63.16
13m	62.19
13n	48.91
13o	56.72
17a	64.53
17b	56.87
17c	64.20
17d	63.03
17e	59.63
17f	62.50
17g	64.94
17h	65.11
17i	51.15
24	71.94
4a	53.64
4b	57.94
4c	51.59
4d	59.27
4i	56.37
4j	53.50
4k	52.95
4l	53.52
4m	55.93
4n	57.37
4o	56.17
4p	56.84
