13a 	-40.70911589972963
13b_pose0002 	-41.3628491881439
13c 	-42.37147316869953
13d_pose0002 	-43.538751205958505
13e_pose0002 	-43.0189812245235
13f 	-43.501288151084104
13g_pose_orig 	-40.31388318842709
13h_pose_orig 	-41.43757205065672
13i_pose_orig 	-40.74329463554167
13j_pose_orig 	-40.97370197024803
13k_pose_orig 	-40.40409821802869
13m_pose_orig 	-40.813996154463084
13n_pose_orig 	-41.536129674894354
13o_pose_orig 	-42.53916333960943
17a_pose0005 	-46.19412477089074
17b 	-44.179620950968044
17c_pose0003 	-40.76882787387487
17d_pose0002 	-35.722060082302704
17e 	-41.469131511314615
17f_pose0002 	-37.19619938966818
17g_pose0007 	-39.100995171125504
17h_pose0003 	-40.033939671455045
17i 	-39.578421851985055
24_pose_manual 	-40.99931061713219
4a_pose_orig 	-33.91185030303687
4b_pose_orig 	-37.27724539678668
4c_pose_orig 	-19.93202026848424
4d_pose_orig 	-29.949494630559993
4i_pose_orig 	-26.48641335718831
4j_pose_orig 	-29.375672378767476
4k_pose_orig 	-30.630585330589483
4l_pose_orig 	-29.161529425860053
4m_pose_orig 	-34.20503868702858
4n_pose_orig 	-31.488537321951398
4o_pose_orig 	-30.69089326444292
4p_pose_orig 	-35.484747640318446
